1,1,Cook a dish,1542860356
1,2,Salad,1545494404
1,3,Stir fry,1546248604
1,4,Stew,1543205068
1,5,Salad,1542255004
1,6,Cook a dish,1536896272
1,7,Stir fry,1539293567
1,8,Salad,1538451624
1,9,Salad,1537047358
1,10,Stew,1538191916
1,11,Salad,1543595062
1,12,Steamed vegetables,1545082635
1,13,Steamed vegetables,1540439284
1,14,Stew,1544780638
1,15,Stew,1538257524
1,16,Stew,1536507072
1,17,Stir fry,1544779804
1,18,Cook a dish,1543354555
1,19,Steamed vegetables,1537090265
1,20,Steamed vegetables,1543809292
1,21,Salad,1544263369
7,1,Stir fry,1542211788
7,2,Steamed vegetables,1538819332
7,3,Steamed vegetables,1536420754
7,4,Stir fry,1536312779
7,5,Salad,1542622974
7,6,Stir fry,1539294545
7,7,Salad,1540029774
7,8,Cook a dish,1541129404
7,9,Stew,1536334360
7,10,Steamed vegetables,1539985774
7,11,Stir fry,1541518470
7,12,Stew,1543660254
7,13,Cook a dish,1536831347
7,14,Salad,1539683290
7,15,Stew,1543959383
7,16,Stir fry,1541584618
7,17,Cook a dish,1545039862
7,18,Stew,1538149154
7,19,Stir fry,1537976314
7,20,Salad,1544220550
7,21,Steamed vegetables,1540568914
13,1,Salad,1538776116
13,2,Stew,1535837434
13,3,Stir fry,1536723400
13,4,Salad,1536291100
13,5,Stir fry,1546076758
13,6,Salad,1545883276
13,7,Salad,1540373830
13,8,Stew,1538775004
13,9,Stew,1543184148
13,10,Stew,1536853054
13,11,Steamed vegetables,1542752311
13,12,Salad,1540612124
13,13,Stir fry,1542147554
13,14,Stir fry,1542729414
13,15,Stir fry,1539163804
13,16,Steamed vegetables,1541929174
13,17,Steamed vegetables,1539359034
13,18,Stir fry,1542773920
13,19,Cook a dish,1544608640
13,20,Stew,1544457412
13,21,Cook a dish,1543548604
19,1,Steamed vegetables,1537176669
19,2,Stew,1545904411
19,3,Steamed vegetables,1545602879
19,4,Stew,1539229404
19,5,Cook a dish,1541648076
19,6,Steamed vegetables,1538559262
19,7,Stew,1541823404
19,8,Salad,1543246550
